algorithm,manual,global_density,local_density,polymatroid_lb,bytedmd_opt,bytedmd_live,bytedmd_classic
naive_matmul(n=16),177744,76207,75666,,111388,109473,186017
"naive_2d_tiled_matmul(n=16,T=4)",177744,89266,66011,,95571,95890,167585
naive_tiled_matmul(n=16),161084,90971,75355,,109966,109637,194732
naive_matmul_cached(n=16),114838,77288,76679,41516,112842,111098,188774
tiled_matmul(n=16),67758,58275,57554,53477,84685,82875,160635
"tiled_matmul_explicit(n=16,T=4)",67758,58275,57554,53477,84685,82875,160635
rmm(n=16),106835,65572,58570,,81909,77352,146225
naive_strassen(n=16),251486,148128,125715,,185175,175185,320092
fused_strassen(n=16),135740,105034,91804,,135276,130659,247189
"naive_attn(N=64,d=2)",532805,436007,398969,,625522,636036,759603
"flash_attn(N=64,d=2,Bk=8)",610154,394814,342445,,531241,546910,667242
matvec_row(n=64),218552,213783,213349,218531,234471,234079,258431
matvec_col(n=64),217952,212529,212150,217810,229731,229780,270386
"matvec_blocked(n=64,B=8)",208832,203980,203466,208790,218373,218218,239875
fft_iterative(N=256),55516,50344,32014,55299,47317,47344,72210
fft_recursive(N=256),52704,22108,16698,26951,24094,24112,39883
stencil_naive(32x32),78968,62995,54294,,70322,72360,100964
"stencil_recursive(32x32,leaf=8)",78968,62995,54294,,70322,72360,100964
"spatial_conv(32x32,K=5)",595987,315732,271059,,404365,404426,706821
"regular_conv(16x16,K=3,Cin=4,Cout=4)",648300,732196,526146,,801291,801655,1378670
fft_conv(N=256),91922,57400,53402,,73434,76335,148053
quicksort(N=64),4718,2583,2225,2964,3231,3221,4737
heapsort(N=64),5523,3452,3377,4294,5026,4711,8428
mergesort(N=64),3386,2380,2338,2892,3305,3489,5077
lcs_dp(32x32),27192,20494,15569,15903,24625,25572,29860
lu_no_pivot(n=32),405592,279391,273448,,410190,409523,715687
"blocked_lu(n=32,NB=8)",250767,192216,179195,,268146,277267,464267
recursive_lu(n=32),355751,238782,215287,,321848,313181,526939
lu_partial_pivot(n=32),440237,263705,248799,,393215,393809,588087
cholesky(n=32),251039,124333,115985,,171908,171642,297413
householder_qr(32x32),768959,520108,397355,,617519,615355,943613
"blocked_qr(32x32,NB=8)",554900,476803,375595,,571904,567859,895734
"tsqr(64x16,br=8)",315433,255975,222220,,330473,330984,593540
transpose_naive(n=32),44704,39033,39030,,44704,44704,62799
transpose_blocked(n=32),44704,38963,38960,,44704,43873,62341
transpose_recursive(n=32),44704,38743,38740,,44704,42513,61688
"stencil_time_naive(16x16,T=4)",67258,42111,22955,45330,34646,35200,45039
"stencil_time_diamond(16x16,T=4)",136095,91718,84244,,126402,127264,252336
floyd_warshall_naive(V=16),85514,74923,74060,82300,114640,114931,160946
floyd_warshall_recursive(V=16),63334,41624,38336,,53369,55116,104355
layernorm_unfused(N=256),14571,12360,12210,8542,17259,17485,23340
layernorm_fused(N=256),15329,12635,10556,9813,14465,14916,21599
"matrix_powers_naive(n=16,s=4)",27198,17591,17465,10858,25607,25451,34791
"matrix_powers_ca(n=16,s=4)",27198,17591,17465,10858,25607,25451,34791
cholesky_left_looking(n=32),257289,112864,98707,,158008,158218,227339
"spmv_csr_banded(n=32,bw=3)",6190,3615,3590,3557,4088,4086,4842
"spmv_csr_random(n=32,nnz=7)",6676,4148,4029,3797,4691,4642,5882
bitonic_sort(N=64),17384,15465,10165,17267,15287,15439,22379
