algorithm,polymatroid_lb,local_density,global_density,bytedmd_opt,bytedmd_live,manual,bytedmd_classic,n_events,poly_seconds,poly_status
naive_matmul(n=16),30052,75234,75671,111132,109473,177744,186017,32000,7.15,ok
"naive_2d_tiled_matmul(n=16,T=4)",30052,65571,88791,95315,95890,177744,167585,32000,6.98,ok
tiled_matmul(n=16),31124,53900,94537,79329,82875,67758,160635,32000,5.39,ok
rmm(n=16),39952,57840,110833,84470,77352,106835,146225,32000,5.14,ok
naive_strassen(n=16),142584,125078,145059,184965,175185,251486,320092,61340,58.27,ok
matvec_row(n=64),197467,211973,212304,229752,234079,218552,258431,32576,1.81,ok
matvec_col(n=64),213336,211904,212183,229667,229780,217952,270386,32576,3.07,ok
"matvec_blocked(n=64,B=8)",206865,202963,203485,215068,218218,208832,239875,34304,1.92,ok
fft_iterative(N=256),42627,31631,39049,46033,47344,55516,72210,13008,2.88,ok
fft_recursive(N=256),31316,23077,27237,31665,24112,52704,39883,18432,4.34,ok
lu_no_pivot(n=32),690040,271413,600081,407900,409523,405592,715687,86432,146.75,ok
"blocked_lu(n=32,NB=8)",507915,189462,420494,283615,277267,250767,464267,86432,185.8,ok
cholesky(n=32),292337,121746,245659,177026,171642,251039,297413,46752,38.88,ok
transpose_naive(n=32),44704,38611,38614,44704,44704,44704,62799,4096,0.07,ok
transpose_blocked(n=32),44704,38571,38573,44704,43873,44704,62341,4096,0.06,ok
quicksort(N=64),1386,1987,2791,2767,3221,4718,4737,1540,0.0,ok
mergesort(N=64),2786,2110,2261,3030,3489,3386,5077,1792,0.04,ok
lcs_dp(32x32),20168,19992,25098,30878,25572,27192,29860,19656,1.03,ok
